,id,player_name,games_18,time_18,goals_18,xG_18,assists_18,xA_18,shots_18,key_passes_18,team_title_18,npg_18,npxG_18,league_18,games_17,time_17,goals_17,xG_17,assists_17,xA_17,shots_17,key_passes_17,team_title_17,npg_17,npxG_17,league_17,games_16,time_16,goals_16,xG_16,assists_16,xA_16,shots_16,key_passes_16,team_title_16,npg_16,npxG_16,league_16
205,628,Chris Smalling,24.0,2130.0,1.0,1.1141689373180272,0.0,0.12397491931915285,11.0,2.0,Manchester United,1.0,1.1141689373180272,EPL,29.0,2533.0,4.0,2.170547891408205,0.0,0.176917914301157,13.0,2.0,Manchester United,4.0,2.170547891408205,EPL,18.0,1212.0,1.0,0.4038977921009064,1.0,0.6390478871762753,7.0,3.0,Manchester United,1.0,0.4038977921009064,EPL
206,638,Kyle Walker,33.0,2774.0,1.0,0.7318427348509431,1.0,1.9359683343209328,21.0,24.0,Manchester City,1.0,0.7318427348509431,EPL,32.0,2792.0,0.0,0.7181971846148372,6.0,4.8404548708349475,13.0,30.0,Manchester City,0.0,0.7181971846148372,EPL,33.0,2710.0,0.0,0.6887413952499628,5.0,3.7017994644120336,19.0,39.0,Tottenham,0.0,0.6887413952499628,EPL
207,640,Jan Vertonghen,22.0,1925.0,1.0,1.0099767725914717,0.0,0.2438495829701424,15.0,4.0,Tottenham,1.0,1.0099767725914717,EPL,36.0,3209.0,0.0,0.8095567636191845,0.0,1.0207464192062616,24.0,12.0,Tottenham,0.0,0.8095567636191845,EPL,33.0,2902.0,0.0,0.5898439604789019,0.0,0.3142291121184826,14.0,7.0,Tottenham,0.0,0.5898439604789019,EPL
208,652,Kieran Trippier,27.0,2278.0,1.0,0.4619603846222162,3.0,4.845307818613946,8.0,49.0,Tottenham,1.0,0.4619603846222162,EPL,24.0,1910.0,0.0,0.4290476907044649,5.0,4.263985018245877,7.0,41.0,Tottenham,0.0,0.4290476907044649,EPL,12.0,561.0,0.0,0.07921844348311424,5.0,2.760996110737324,3.0,14.0,Tottenham,0.0,0.07921844348311424,EPL
209,672,Jordan Ayew,20.0,1200.0,1.0,2.648142570629716,2.0,1.2027314379811287,27.0,16.0,Crystal Palace,1.0,2.648142570629716,EPL,36.0,2862.0,7.0,6.851809272542597,2.0,1.9186684098094704,65.0,16.0,Swansea,6.0,6.0906404396519065,EPL,14.0,858.0,1.0,1.0219961497932673,3.0,1.8366593681275845,12.0,6.0,Swansea,1.0,1.0219961497932673,EPL
210,681,César Azpilicueta,38.0,3405.0,1.0,1.2596378233283758,5.0,2.423508291132748,17.0,27.0,Chelsea,1.0,1.2596378233283758,EPL,37.0,3330.0,2.0,1.3824913119897246,6.0,4.652553962543606,13.0,32.0,Chelsea,2.0,1.3824913119897246,EPL,38.0,3420.0,1.0,0.6433536931872368,4.0,1.6755610089749098,18.0,22.0,Chelsea,1.0,0.6433536931872368,EPL
211,689,Kenedy,25.0,1347.0,1.0,2.4077060967683788,1.0,0.8153682351112366,31.0,11.0,Newcastle United,1.0,1.6465372741222382,EPL,13.0,1039.0,2.0,2.4043993381783366,2.0,1.8154452815651891,23.0,13.0,Newcastle United,2.0,2.4043993381783366,EPL,2.0,91.0,0.0,0.1576310247182846,0.0,0.04227003082633018,3.0,1.0,"Chelsea,Watford",0.0,0.1576310247182846,EPL
212,697,Nemanja Matic,28.0,2450.0,1.0,1.7107233591377735,0.0,0.5648093987256289,12.0,13.0,Manchester United,1.0,1.7107233591377735,EPL,36.0,3121.0,1.0,0.4516917513683438,1.0,1.3941078782081604,18.0,23.0,Manchester United,1.0,0.4516917513683438,EPL,35.0,2699.0,1.0,1.1329745361581445,7.0,3.057638326659798,20.0,26.0,Chelsea,1.0,1.1329745361581445,EPL
213,712,Jack Cork,37.0,3315.0,1.0,1.5164049454033377,2.0,2.2603948991745706,17.0,18.0,Burnley,1.0,1.5164049454033377,EPL,38.0,3420.0,2.0,1.6951352525502443,1.0,0.7797278929501772,16.0,18.0,Burnley,2.0,1.6951352525502443,EPL,30.0,2233.0,0.0,1.3317919531837106,0.0,1.2210688460618258,18.0,13.0,Swansea,0.0,1.3317919531837106,EPL
214,727,DeAndre Yedlin,29.0,2476.0,1.0,1.1860910477116704,2.0,2.151615102775395,11.0,28.0,Newcastle United,1.0,1.1860910477116704,EPL,34.0,2838.0,0.0,0.14289415813982487,2.0,2.0982142155990005,6.0,18.0,Newcastle United,0.0,0.14289415813982487,EPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
215,769,Jonjo Shelvey,16.0,932.0,1.0,0.7167939725331962,1.0,1.8579728235490618,23.0,25.0,Newcastle United,1.0,0.7167939725331962,EPL,30.0,2268.0,1.0,2.1764802299439907,3.0,2.6017928682267666,42.0,41.0,Newcastle United,1.0,2.1764802299439907,EPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
216,787,Ryan Bennett,34.0,3060.0,1.0,1.0000525284558537,0.0,0.7868758589029312,15.0,9.0,Wolverhampton Wanderers,1.0,1.0000525284558537,EPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
217,807,Jonny Evans,24.0,1993.0,1.0,0.5250390954315662,0.0,0.2806595526635647,11.0,5.0,Leicester,1.0,0.5250390954315662,EPL,28.0,2276.0,2.0,1.7376437373459341,2.0,1.045009071007371,10.0,8.0,West Bromwich Albion,2.0,1.7376437373459341,EPL,31.0,2635.0,2.0,1.8058079509064555,1.0,0.3334588399156928,9.0,7.0,West Bromwich Albion,2.0,1.8058079509064555,EPL
218,825,Adam Smith,25.0,2080.0,1.0,0.5962848346680403,1.0,0.5752323083579539,7.0,11.0,Bournemouth,1.0,0.5962848346680403,EPL,27.0,2067.0,1.0,0.4273650022223592,3.0,1.467048930004239,13.0,21.0,Bournemouth,1.0,0.4273650022223592,EPL,36.0,3094.0,1.0,1.3890557084232569,5.0,4.8110047578811646,26.0,30.0,Bournemouth,1.0,1.3890557084232569,EPL
219,835,Ryan Bertrand,24.0,2160.0,1.0,1.2571097603067756,0.0,1.7228195257484913,16.0,23.0,Southampton,1.0,1.2571097603067756,EPL,35.0,3138.0,0.0,2.0217597614973783,4.0,2.821567022241652,20.0,35.0,Southampton,0.0,2.0217597614973783,EPL,28.0,2509.0,2.0,0.666036075912416,4.0,2.6942961625754838,19.0,28.0,Southampton,2.0,0.666036075912416,EPL
220,836,Victor Wanyama,13.0,499.0,1.0,1.0802447833120823,0.0,0.05843111872673035,7.0,2.0,Tottenham,1.0,1.0802447833120823,EPL,18.0,830.0,1.0,0.3189947158098221,0.0,0.26305764727294445,11.0,5.0,Tottenham,1.0,0.3189947158098221,EPL,36.0,3021.0,4.0,4.787808591499925,1.0,2.0355495056137443,40.0,32.0,Tottenham,4.0,4.787808591499925,EPL
221,842,Oriol Romeu,31.0,2155.0,1.0,0.9572870153933764,0.0,1.706584144383669,10.0,9.0,Southampton,1.0,0.9572870153933764,EPL,34.0,2911.0,1.0,2.5790356583893304,0.0,1.6574522238224745,27.0,22.0,Southampton,1.0,2.5790356583893304,EPL,35.0,3071.0,1.0,1.81104255001992,0.0,1.178143389523029,28.0,17.0,Southampton,1.0,1.81104255001992,EPL
222,847,Cédric Soares,18.0,1494.0,1.0,0.27469734381884336,2.0,1.1431782990694046,10.0,12.0,Southampton,1.0,0.27469734381884336,EPL,32.0,2800.0,0.0,0.6679673036560416,3.0,3.479491911828518,23.0,24.0,Southampton,0.0,0.6679673036560416,EPL,30.0,2524.0,0.0,0.651853091083467,3.0,3.075167693197727,20.0,39.0,Southampton,0.0,0.651853091083467,EPL
223,847,Cédric Soares,4.0,261.0,0.0,0.1598346820101142,1.0,0.3836097382009029,4.0,6.0,Inter,0.0,0.1598346820101142,Serie_A,32.0,2800.0,0.0,0.6679673036560416,3.0,3.479491911828518,23.0,24.0,Southampton,0.0,0.6679673036560416,EPL,30.0,2524.0,0.0,0.651853091083467,3.0,3.075167693197727,20.0,39.0,Southampton,0.0,0.651853091083467,EPL
224,884,Matt Targett,16.0,1180.0,1.0,0.601858351379633,3.0,2.119725428521633,11.0,23.0,Southampton,1.0,0.601858351379633,EPL,2.0,168.0,0.0,0.0,0.0,0.1377749741077423,0.0,2.0,Southampton,0.0,0.0,EPL,5.0,373.0,0.0,0.07560642994940281,0.0,0.2909557297825813,2.0,5.0,Southampton,0.0,0.07560642994940281,EPL
225,900,Adama Traoré,29.0,879.0,1.0,1.2554869428277016,1.0,2.2048870790749793,19.0,17.0,Wolverhampton Wanderers,1.0,1.2554869428277016,EPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,27.0,1530.0,0.0,0.9504911378026007,1.0,1.444280218333006,11.0,18.0,Middlesbrough,0.0,0.9504911378026007,EPL
226,922,Andreas Pereira,15.0,593.0,1.0,0.2686988189816475,1.0,0.8848187737166882,8.0,9.0,Manchester United,1.0,0.2686988189816475,EPL,23.0,1074.0,1.0,0.95610130764544,3.0,1.950669191777706,14.0,20.0,Valencia,1.0,0.95610130764544,La_liga,35.0,2833.0,5.0,4.384976374916731,3.0,3.722253172658384,75.0,52.0,Granada,5.0,4.384976374916731,La_liga
227,971,Harry Winks,26.0,1578.0,1.0,1.094498997554183,0.0,0.244331918656826,9.0,7.0,Tottenham,1.0,1.094498997554183,EPL,16.0,771.0,0.0,0.04893154744058848,1.0,0.5688206227496266,3.0,10.0,Tottenham,0.0,0.04893154744058848,EPL,21.0,455.0,1.0,1.0234677270054815,1.0,0.6690510567277671,6.0,8.0,Tottenham,1.0,1.0234677270054815,EPL
228,1006,Luke Shaw,29.0,2594.0,1.0,1.533867921680212,4.0,4.323225731961428,21.0,33.0,Manchester United,1.0,1.533867921680212,EPL,11.0,785.0,0.0,0.3249249272048473,0.0,0.356035134755075,11.0,9.0,Manchester United,0.0,0.3249249272048473,EPL,11.0,702.0,0.0,0.19301412254571915,1.0,1.0119867399334908,6.0,10.0,Manchester United,0.0,0.19301412254571915,EPL
